Time, Leisure, Van
02-09 18:10,13.3,13.2
02-09 18:20,13.2,13.2
02-09 18:30,13.2,13.2
02-09 18:40,13.3,13.3
02-09 18:50,13.2,13.2
02-09 19:00,13.2,13.2
02-09 19:10,13.3,13.3
02-09 19:20,13.2,13.2
02-09 19:30,13.2,13.2
02-09 19:40,13.2,13.2
02-09 19:50,13.2,13.2
02-09 20:00,13.2,13.2
02-09 20:10,13.2,13.2
02-09 20:20,13.2,13.2
02-09 20:30,13.3,13.2
02-09 20:40,13.2,13.1
02-09 20:50,13.2,13.2
02-09 21:00,13.2,13.2
02-09 21:10,13.3,13.2
02-09 21:20,13.3,13.3
02-09 21:30,13.3,13.3
02-09 21:40,13.3,13.2
02-09 21:50,13.4,13.3
02-09 22:00,13.4,13.3
02-09 22:10,13.3,13.3
02-09 22:20,13.4,13.3
02-09 22:30,13.3,13.3
02-09 22:40,13.3,13.3
02-09 22:50,13.2,13.3
02-09 23:00,13.3,13.3
02-09 23:10,13.3,13.3
02-09 23:20,13.3,13.3
02-09 23:30,13.3,13.3
02-09 23:40,13.3,13.3
02-09 23:50,13.2,13.3
02-10 00:00,13.3,13.3
02-10 00:10,13.3,13.3
02-10 00:20,13.3,13.3
02-10 00:30,13.3,13.3
02-10 00:40,13.4,13.3
02-10 00:50,13.4,13.3
02-10 01:00,13.3,13.3
02-10 01:10,13.3,13.3
02-10 01:20,13.3,13.3
02-10 01:30,13.4,13.3
02-10 01:40,13.3,13.3
02-10 01:50,13.3,13.3
02-10 02:00,13.3,13.3
02-10 02:10,13.3,13.3
02-10 02:20,13.3,13.3
02-10 02:31,13.3,13.3
02-10 02:41,13.4,13.3
02-10 02:51,13.4,13.3
02-10 03:01,13.4,13.3
02-10 03:11,13.4,13.3
02-10 03:21,13.3,13.3
02-10 03:31,13.3,13.3
02-10 03:41,13.3,13.3
02-10 03:51,13.3,13.3
02-10 04:01,13.3,13.3
02-10 04:11,13.3,13.3
02-10 04:21,13.3,13.3
02-10 04:31,13.3,13.3
02-10 04:41,13.4,13.3
02-10 04:51,13.4,13.3
02-10 05:01,13.4,13.3
02-10 05:11,13.4,13.3
02-10 05:21,13.3,13.3
02-10 05:31,13.3,13.3
02-10 05:41,13.3,13.3
02-10 05:51,13.3,13.3
02-10 06:01,13.4,13.3
02-10 06:11,13.3,13.3
02-10 06:21,13.4,13.3
02-10 06:31,13.4,13.3
02-10 06:41,13.3,13.3
02-10 06:51,13.3,13.3
02-10 07:01,13.3,13.3
02-10 07:11,13.3,13.3
02-10 07:21,13.3,13.3
02-10 07:31,13.4,13.3
02-10 07:41,13.3,13.3
02-10 07:51,13.4,13.3
02-10 08:01,13.3,13.3
02-10 08:11,13.3,13.3
02-10 08:21,13.4,13.4
02-10 08:31,13.5,13.4
02-10 08:41,13.5,13.4
02-10 08:51,13.5,13.4
02-10 09:01,13.5,13.4
02-10 09:11,13.5,13.4
02-10 09:21,13.6,13.5
02-10 09:31,13.5,13.4
02-10 09:41,13.5,13.4
02-10 09:51,13.5,13.5
02-10 10:01,13.4,13.4
02-10 10:11,13.4,13.4
02-10 10:21,13.6,13.5
02-10 10:31,14.7,14.6
02-10 10:41,14.8,14.7
02-10 10:51,14.8,14.7
02-10 11:01,14.8,14.7
02-10 11:11,14.7,14.6
02-10 11:21,14.6,14.6
02-10 11:31,14.6,14.6
02-10 11:41,14.5,14.5
02-10 11:51,14.7,14.6
02-10 12:00,14.7,14.6
02-10 12:10,14.7,14.6
02-10 12:20,14.6,14.5
02-10 12:30,14.0,13.9
02-11 12:00,13.2,13.2
02-11 12:10,13.4,13.4
02-11 12:20,13.4,13.4
02-11 12:30,13.5,13.5
02-11 12:40,13.4,13.4
02-11 12:50,13.4,13.4
02-11 13:00,13.4,13.4
02-11 13:10,13.5,13.5
02-11 13:20,13.5,13.5
02-11 13:30,13.5,13.5
02-11 13:40,13.5,13.5
02-11 13:50,13.6,13.6
02-11 14:00,13.5,13.5
02-11 14:10,13.5,13.5
02-11 14:20,13.4,13.3
02-11 14:30,13.2,13.2
02-11 14:40,13.2,13.2
02-11 14:50,13.4,13.4
02-11 15:00,13.4,13.4
02-11 15:10,13.4,13.4
02-11 15:20,13.4,13.3
02-11 15:30,13.4,13.3
02-11 15:40,13.3,13.3
02-11 15:50,13.3,13.3
02-11 16:00,13.4,13.4
02-11 16:10,13.4,13.4
02-11 16:20,13.3,13.3
02-11 16:30,13.3,13.3
02-11 16:40,13.4,13.4
02-11 16:50,13.3,13.3
02-11 17:00,13.3,13.3
02-11 17:10,13.3,13.3
02-11 17:20,13.3,13.3
02-11 17:30,13.4,13.3
02-11 17:40,13.4,13.4
02-11 17:50,13.3,13.3
02-11 18:00,13.3,13.3
02-11 18:10,13.4,13.3
02-11 18:20,13.3,13.3
02-11 18:30,13.3,13.3
02-11 18:40,13.3,13.3
