Time, Temp C, Humidity %
02-12 15:50,13,26
02-12 16:00,13,26
02-12 16:10,12,27
02-12 16:20,12,26
02-12 16:30,11,26
02-12 16:40,11,26
02-12 16:50,13,26
02-12 17:00,12,26
02-12 17:10,12,28
02-12 17:20,11,26
02-12 17:30,11,26
02-12 17:40,11,26
02-12 17:50,10,26
02-12 18:00,10,26
02-12 18:10,10,26
02-12 18:20,12,26
02-12 18:30,11,26
02-12 18:40,10,26
02-12 18:50,10,28
02-12 19:00,10,25
02-12 19:10,10,27
02-12 19:20,9,26
02-12 19:30,9,26
02-12 19:40,9,26
02-12 19:50,10,26
02-12 20:00,11,26
02-12 20:10,10,26
02-12 20:20,8,26
02-12 20:30,8,26
02-12 20:40,10,26
02-12 20:50,10,26
02-12 21:00,10,28
02-12 21:10,8,27
02-12 21:20,9,27
02-12 21:30,9,26
02-12 21:40,9,26
02-12 21:50,11,26
02-12 22:00,9,27
02-12 22:10,8,26
02-12 22:20,8,26
02-12 22:30,8,27
02-12 22:40,9,26
02-12 22:50,8,27
02-12 23:00,8,26
02-12 23:10,10,27
02-12 23:20,10,26
02-12 23:30,8,26
02-12 23:40,10,26
02-12 23:50,10,25
02-13 00:00,8,27
02-13 00:10,7,28
02-13 00:20,9,28
02-13 00:30,8,27
02-13 00:40,9,26
02-13 00:50,9,27
02-13 01:00,9,29
02-13 01:10,9,27
02-13 01:20,9,29
02-13 01:30,9,26
02-13 01:40,7,27
02-13 01:50,7,27
02-13 02:00,11,27
02-13 02:10,9,27
02-13 02:20,9,28
02-13 02:30,6,26
02-13 02:40,8,26
02-13 02:50,8,27
02-13 03:01,8,26
02-13 03:11,8,28
02-13 03:21,8,28
02-13 03:31,8,26
02-13 03:41,8,28
02-13 03:51,8,27
02-13 04:01,8,27
02-13 04:11,8,27
02-13 04:21,8,27
02-13 04:31,8,27
02-13 04:41,8,27
02-13 04:51,10,27
02-13 05:01,8,29
02-13 05:11,7,26
02-13 05:21,7,27
02-13 05:31,7,29
02-13 05:41,7,27
02-13 05:51,7,27
02-13 06:01,9,27
02-13 06:11,7,27
02-13 06:21,9,27
02-13 06:31,8,27
02-13 06:41,8,27
02-13 06:51,8,28
02-13 07:01,8,25
02-13 07:11,8,27
02-13 07:21,7,27
02-13 07:31,7,25
02-13 07:41,7,26
02-13 07:51,7,27
02-13 08:01,7,26
02-13 08:11,7,27
02-13 08:21,7,27
02-13 08:31,7,27
02-13 08:41,7,27
02-13 08:51,7,27
02-13 09:01,7,27
02-13 09:11,7,26
02-13 09:21,8,27
02-13 09:31,8,27
02-13 09:41,9,28
02-13 09:51,9,27
02-13 10:01,8,26
02-13 10:11,8,28
02-13 10:21,9,28
02-13 10:31,10,28
02-13 10:41,9,28
02-13 10:51,12,29
02-13 11:01,12,29
02-13 11:11,12,27
02-13 11:21,12,28
02-13 11:31,14,28
02-13 11:41,17,29
02-13 11:51,16,28
02-13 12:00,16,28
