Time,Air Quality
02-10 11:41,-12.0
02-10 11:51,-4.0
02-10 12:00,20.0
02-10 12:10,20.0
02-10 12:20,22.0
02-10 12:30,28.0
02-11 12:00,-5.0
02-11 12:10,8.0
02-11 12:20,15.0
02-11 12:30,36.0
02-11 12:40,48.0
02-11 12:50,64.0
02-11 13:00,76.0
02-11 13:10,88.0
02-11 13:20,92.0
02-11 13:30,99.0
02-11 13:40,102.0
02-11 13:50,112.0
02-11 14:00,120.0
02-11 14:10,126.0
02-11 14:20,135.0
02-11 14:30,147.0
02-11 14:40,161.0
02-11 14:50,165.0
02-11 15:00,171.0
02-11 15:10,175.0
02-11 15:20,179.0
02-11 15:30,182.0
02-11 15:40,173.0
02-11 15:50,163.0
02-11 16:00,153.0
02-11 16:10,152.0
02-11 16:20,152.0
02-11 16:30,153.0
02-11 16:40,160.0
02-11 16:50,164.0
02-11 17:00,170.0
02-11 17:10,171.0
02-11 17:20,175.0
02-11 17:30,181.0
02-11 17:40,188.0
02-11 17:50,190.0
02-11 18:00,192.0
02-11 18:10,197.0
02-11 18:20,203.0
02-11 18:30,202.0
02-11 18:40,201.0
02-11 18:50,204.0
02-11 19:00,208.0
02-11 19:10,213.0
02-11 19:20,217.0
02-11 19:30,216.0
02-11 19:40,215.0
02-11 19:50,216.0
02-11 20:00,216.0
02-11 20:10,217.0
02-11 20:20,218.0
02-11 20:30,217.0
02-11 20:40,220.0
02-11 20:50,222.0
02-11 21:00,226.0
02-11 21:10,229.0
02-11 21:20,232.0
02-11 21:30,228.0
02-11 21:40,228.0
02-11 21:50,224.0
02-11 22:00,222.0
02-11 22:10,224.0
02-11 22:20,226.0
02-11 22:30,230.0
02-11 22:40,226.0
02-11 22:50,231.0
02-11 23:00,225.0
02-11 23:10,223.0
02-11 23:20,219.0
02-11 23:30,225.0
02-11 23:40,221.0
02-11 23:50,224.0
02-12 00:00,221.0
02-12 00:10,228.0
02-12 00:20,220.0
02-12 00:30,220.0
02-12 00:40,216.0
02-12 00:50,216.0
02-12 01:00,215.0
02-12 01:10,213.0
02-12 01:20,217.0
02-12 01:30,216.0
02-12 01:40,217.0
02-12 01:50,218.0
02-12 02:00,219.0
02-12 02:10,217.0
02-12 02:20,214.0
02-12 02:30,206.0
02-12 02:40,203.0
02-12 02:50,193.0
02-12 03:00,191.0
02-12 03:10,185.0
02-12 03:21,182.0
02-12 03:31,183.0
02-12 03:41,179.0
02-12 03:51,179.0
02-12 04:01,179.0
02-12 04:11,182.0
02-12 04:21,182.0
02-12 04:31,179.0
02-12 04:41,175.0
02-12 04:51,170.0
02-12 05:01,169.0
02-12 05:11,170.0
02-12 05:21,168.0
02-12 05:31,168.0
02-12 05:41,162.0
02-12 05:51,162.0
02-12 06:01,156.0
02-12 06:11,156.0
02-12 06:21,155.0
02-12 06:31,158.0
02-12 06:41,161.0
02-12 06:51,164.0
02-12 07:01,161.0
02-12 07:11,159.0
02-12 07:21,154.0
02-12 07:31,157.0
02-12 07:41,154.0
02-12 07:51,153.0
02-12 08:01,153.0
02-12 08:11,152.0
02-12 08:21,153.0
02-12 08:31,149.0
02-12 08:41,145.0
02-12 08:51,147.0
02-12 09:01,144.0
02-12 09:11,141.0
02-12 09:21,137.0
02-12 09:31,140.0
02-12 09:41,139.0
02-12 09:51,132.0
02-12 10:01,123.0
02-12 10:11,118.0
02-12 10:21,111.0
02-12 10:31,104.0
02-12 10:41,99.0
02-12 10:51,96.0
02-12 11:01,90.0
02-12 11:11,77.0
02-12 11:21,60.0
02-12 11:31,46.0
02-12 11:41,28.0
02-12 11:51,17.0
02-12 12:00,-4.0
02-12 12:10,-38.0
02-12 12:20,-89.0
02-12 12:30,-154.0
02-12 12:40,-195.0
02-12 12:50,-184.0
02-12 13:00,-167.0
02-12 13:10,-153.0
02-12 13:20,-131.0
02-12 13:30,-115.0
02-12 13:40,-90.0
02-12 13:50,-74.0
02-12 14:00,-51.0
02-12 14:10,-33.0
02-12 14:20,-8.0
02-12 14:30,9.0
02-12 14:40,31.0
02-12 14:50,47.0
02-12 15:00,72.0
02-12 15:10,88.0
02-12 15:20,100.0
02-12 15:30,113.0
02-12 15:40,121.0
02-12 15:50,127.0
02-12 16:00,131.0
02-12 16:10,134.0
02-12 16:20,136.0
02-12 16:30,135.0
02-12 16:40,132.0
02-12 16:50,130.0
02-12 17:00,126.0
02-12 17:10,121.0
02-12 17:20,120.0
02-12 17:30,122.0
02-12 17:40,123.0
02-12 17:50,127.0
02-12 18:00,126.0
02-12 18:10,130.0
02-12 18:20,127.0
02-12 18:30,133.0
02-12 18:40,131.0
02-12 18:50,131.0
02-12 19:00,127.0
02-12 19:10,128.0
02-12 19:20,130.0
02-12 19:30,134.0
02-12 19:40,137.0
02-12 19:50,133.0
02-12 20:00,125.0
02-12 20:10,119.0
02-12 20:20,118.0
02-12 20:30,116.0
02-12 20:40,118.0
02-12 20:50,114.0
02-12 21:00,119.0
02-12 21:10,116.0
02-12 21:20,119.0
02-12 21:30,115.0
02-12 21:40,115.0
02-12 21:50,115.0
02-12 22:00,114.0
02-12 22:10,114.0
02-12 22:20,113.0
02-12 22:30,114.0
02-12 22:40,110.0
02-12 22:50,108.0
02-12 23:00,106.0
02-12 23:10,104.0
02-12 23:20,99.0
02-12 23:30,91.0
02-12 23:40,83.0
02-12 23:50,81.0
02-13 00:00,74.0
02-13 00:10,73.0
02-13 00:20,69.0
02-13 00:30,65.0
02-13 00:40,63.0
02-13 00:50,61.0
02-13 01:00,60.0
02-13 01:10,57.0
02-13 01:20,53.0
02-13 01:30,51.0
02-13 01:40,48.0
02-13 01:50,46.0
02-13 02:00,39.0
02-13 02:10,41.0
02-13 02:20,40.0
02-13 02:30,40.0
02-13 02:40,34.0
02-13 02:50,30.0
02-13 03:01,27.0
02-13 03:11,24.0
02-13 03:21,22.0
02-13 03:31,23.0
02-13 03:41,23.0
02-13 03:51,20.0
02-13 04:01,15.0
02-13 04:11,16.0
02-13 04:21,16.0
02-13 04:31,20.0
02-13 04:41,19.0
02-13 04:51,18.0
02-13 05:01,14.0
02-13 05:11,15.0
02-13 05:21,13.0
02-13 05:31,11.0
02-13 05:41,12.0
02-13 05:51,10.0
02-13 06:01,9.0
02-13 06:11,1.0
02-13 06:21,-2.0
02-13 06:31,-4.0
02-13 06:41,-3.0
02-13 06:51,-1.0
02-13 07:01,-1.0
02-13 07:11,-1.0
02-13 07:21,-2.0
02-13 07:31,-2.0
02-13 07:41,-7.0
02-13 07:51,-9.0
02-13 08:01,-12.0
02-13 08:11,-11.0
02-13 08:21,-12.0
02-13 08:31,-12.0
02-13 08:41,-13.0
02-13 08:51,-9.0
02-13 09:01,-5.0
02-13 09:11,2.0
02-13 09:21,5.0
02-13 09:31,1.0
02-13 09:41,-12.0
02-13 09:51,-24.0
02-13 10:01,-32.0
02-13 10:11,-37.0
02-13 10:21,-35.0
02-13 10:31,-40.0
02-13 10:41,-40.0
02-13 10:51,-41.0
02-13 11:01,-24.0
02-13 11:11,-2.0
02-13 11:21,20.0
02-13 11:31,37.0
02-13 11:41,53.0
02-13 11:51,70.0
02-13 12:00,106.0
02-13 12:10,111.0
02-13 12:20,119.0
02-13 12:30,144.0
