Time, Pressure MBar
02-13 17:00,1027
02-13 17:10,1027
02-13 17:20,1027
02-13 17:30,1027
02-13 17:40,1027
02-13 17:50,1027
02-13 18:00,1028
02-13 18:10,1028
02-13 18:20,1028
02-13 18:30,1028
02-13 18:40,1028
02-13 18:50,1028
02-13 19:00,1028
02-13 19:10,1028
02-13 19:20,1028
02-13 19:30,1028
02-13 19:40,1028
02-13 19:50,1028
02-13 20:00,1028
02-13 20:10,1028
02-13 20:20,1028
02-13 20:30,1028
02-13 20:40,1027
02-13 20:50,1027
02-13 21:00,1027
02-13 21:10,1027
02-13 21:20,1027
02-13 21:30,1027
02-13 21:40,1027
02-13 21:50,1027
02-13 22:00,1027
02-13 22:10,1027
02-13 22:20,1027
02-13 22:30,1027
02-13 22:40,1027
02-13 22:50,1027
02-13 23:00,1027
02-13 23:10,1027
02-13 23:20,1027
02-13 23:30,1027
02-13 23:40,1027
02-13 23:50,1027
02-14 00:00,1027
02-14 00:10,1027
02-14 00:20,1027
02-14 00:30,1027
02-14 00:40,1027
02-14 00:50,1027
02-14 01:00,1027
02-14 01:10,1027
02-14 01:20,1027
02-14 01:30,1027
02-14 01:40,1027
02-14 01:50,1027
02-14 02:00,1027
02-14 02:10,1027
02-14 02:20,1027
02-14 02:30,1027
02-14 02:40,1027
02-14 02:50,1027
02-14 03:00,1027
02-14 03:10,1027
02-14 03:20,1027
02-14 03:31,1027
02-14 03:41,1027
02-14 03:51,1027
02-14 04:01,1027
02-14 04:11,1027
02-14 04:21,1027
02-14 04:31,1027
02-14 04:41,1027
02-14 04:51,1027
02-14 05:01,1027
02-14 05:11,1026
02-14 05:21,1026
02-14 05:31,1026
02-14 05:41,1027
02-14 05:51,1026
02-14 06:01,1027
02-14 06:11,1026
02-14 06:21,1026
02-14 06:31,1026
02-14 06:41,1026
02-14 06:51,1026
02-14 07:01,1026
02-14 07:11,1027
02-14 07:21,1027
02-14 07:31,1027
02-14 07:41,1027
02-14 07:51,1027
02-14 08:01,1027
02-14 08:11,1027
02-14 08:21,1027
02-14 08:31,1027
02-14 08:41,1027
02-14 08:51,1027
02-14 09:01,1027
02-14 09:11,1027
02-14 09:21,1027
02-14 09:31,1027
02-14 09:41,1027
02-14 09:51,1027
02-14 10:01,1027
02-14 10:11,1027
02-14 10:21,1027
02-14 10:31,1027
02-14 10:41,1027
02-14 10:51,1027
02-14 11:01,1027
02-14 11:11,1027
02-14 11:21,1027
02-14 11:31,1027
02-14 11:41,1026
02-14 11:51,1026
02-14 12:00,1026
02-14 12:10,1026
02-14 12:20,1026
02-14 12:30,1026
02-14 12:40,1026
02-14 12:50,1026
02-14 13:00,1026
02-14 13:10,1026
02-14 13:20,1025
02-14 13:30,1025
02-14 13:40,1025
02-14 13:50,1025
02-14 14:00,1025
02-14 14:10,1025
02-14 14:20,1025
